"","human_p_val","human_avg_logFC","human_pct.1","human_pct.2","human_p_val_adj","mouse_p_val","mouse_avg_logFC","mouse_pct.1","mouse_pct.2","mouse_p_val_adj","max_pval","minimump_p_val"
"ALOX5AP",2.07869596126642e-293,0.498704402177159,0.477,0.162,2.8103969396322e-289,1.18086629969509e-21,0.55975443329371,0.905,0.678,1.59653123718776e-17,1.18086629969509e-21,4.1573919225326e-293
"SLC2A3",5.69429187067864e-256,0.450461327837484,0.413,0.144,7.69868260915752e-252,3.74823618974992e-19,0.336375163452918,0.372,0.125,5.0676153285419e-15,3.74823618974992e-19,1.13885837413572e-255
"ARRB2",6.07082758527368e-248,0.405213391346205,0.557,0.267,8.20775889529002e-244,2.86312985148796e-08,0.251106189725499,0.423,0.235,0.000387095155921172,2.86312985148796e-08,1.21416551705463e-247
"GLTSCR2",4.53429862680771e-226,-0.360547037304832,0.971,0.984,6.13037174344402e-222,8.85804031306514e-08,-0.281664622745539,0.876,0.923,0.00119760705032641,8.85804031306514e-08,9.06859725361502e-226
"OSTF1",3.32656981600244e-210,0.400157217902819,0.567,0.315,4.4975223912353e-206,1.62447873667271e-14,0.345616014024286,0.891,0.73,2.1962952519815e-10,1.62447873667271e-14,6.65313963200504e-210
"CYBB",3.34134159190409e-201,0.259143011997503,0.362,0.121,4.51749383225433e-197,6.42980960041623e-38,0.664107628979783,0.467,0.115,8.69310257976275e-34,6.42980960041623e-38,6.68268318380826e-201
"VASP",7.77616754963147e-180,0.38863254874613,0.623,0.398,1.05133785271017e-175,1.07720556676851e-11,0.345767809029289,0.708,0.507,1.45638192627103e-07,1.07720556676851e-11,1.55523350992629e-179
"GLIPR2",2.17704138698731e-178,0.357185038684518,0.474,0.246,2.94335995520685e-174,4.42996222191233e-13,0.282082611041747,0.336,0.132,5.98930892402546e-09,4.42996222191233e-13,4.35408277397465e-178
"MINPP1",1.81376666597715e-176,-0.380069725911065,0.076,0.356,2.45221253240111e-172,0.000144098349329314,-0.288190939358679,0.27,0.418,1,0.000144098349329314,3.62753333195421e-176
"CDK2AP2",8.00765911321207e-168,0.33430102700087,0.564,0.324,1.08263551210627e-163,1.35254238536684e-10,0.452708386423111,0.796,0.634,1.82863730501597e-06,1.35254238536684e-10,1.6015318226424e-167
"CMTM6",2.39395837598905e-161,0.348467173837088,0.696,0.485,3.2366317243372e-157,4.71741229143444e-10,0.308477973532149,0.438,0.232,6.37794141801937e-06,4.71741229143444e-10,4.787916751978e-161
"PRDX2",9.45303530502668e-149,-1.02969762339032,0.675,0.803,1.27805037323961e-144,1.36057193624526e-05,-0.264350450797841,0.912,0.934,0.183949325780359,1.36057193624526e-05,1.8906070610053e-148
